0:00,6487,23
0:30,3512,489
1:00,5991,112
1:30,4156,378
2:00,3879,67
2:30,6123,451
3:00,4530,189
3:30,5376,314
4:00,3601,88
4:30,6319,422
5:00,4985,255
5:30,5118,198
6:00,3927,403
6:30,5742,136
7:00,4390,347
7:30,6055,79
8:00,3754,465
8:30,5509,221
9:00,4863,390
9:30,6234,101
10:00,4017,478
10:30,5280,163
11:00,3558,335
11:30,5912,94
12:00,4671,411
12:30,6189,56
13:00,3815,492
13:30,5432,177
14:00,4226,362
14:30,5801,129
15:00,3988,439
15:30,6395,31
16:00,4759,288
16:30,5193,205
17:00,3682,458
17:30,6017,143
18:00,4460,321
18:30,5674,107
19:00,4103,481
19:30,6270,72
20:00,3719,445
20:30,5948,191
21:00,4597,274
21:30,5051,150
22:00,3952,499
22:30,6106,38
23:00,4325,301
23:30,5783,118
24:00,3589,427
