0:00,3500,100
0:30,3600,120
1:00,3700,150
1:30,3800,180
2:00,3900,200
2:30,4000,220
3:00,4100,240
3:30,4200,260
4:00,4300,280
4:30,4400,300
5:00,4500,320
5:30,4600,340
6:00,4700,360
6:30,4800,380
7:00,4900,400
7:30,5000,420
8:00,5100,440
8:30,5200,460
9:00,5300,480
9:30,5400,490
10:00,5500,500
10:30,5600,490
11:00,5700,480
11:30,5800,470
12:00,5900,460
12:30,6000,450
13:00,6100,440
13:30,6200,430
14:00,6300,420
14:30,6400,410
15:00,6500,400
15:30,6400,380
16:00,6300,360
16:30,6200,340
17:00,6100,320
17:30,6000,300
18:00,5900,280
18:30,5800,260
19:00,5700,240
19:30,5600,220
20:00,5500,200
20:30,5400,180
21:00,5300,160
21:30,5200,140
22:00,5100,120
22:30,5000,100
23:00,4900,80
23:30,4800,60
24:00,4700,40
