0:00,4250,155
0:30,4800,110
1:00,3900,185
1:30,5500,95
2:00,4100,165
2:30,6100,70
3:00,5200,130
3:30,3700,205
4:00,5900,80
4:30,4500,145
5:00,6300,60
5:30,5000,120
6:00,3600,190
6:30,5700,85
7:00,4000,170
7:30,6500,50
8:00,5300,115
8:30,3800,210
9:00,6000,75
9:30,4300,150
10:00,5800,90
10:30,4900,125
11:00,3500,220
11:30,6200,65
12:00,4700,135
12:30,5100,110
13:00,3950,175
13:30,5600,95
14:00,4400,140
14:30,6400,55
15:00,5050,120
15:30,3650,200
16:00,5850,80
16:30,4150,160
17:00,6150,65
17:30,5250,115
18:00,3850,185
18:30,5950,75
19:00,4550,145
19:30,6350,50
20:00,4850,130
20:30,3550,215
21:00,5750,85
21:30,4050,165
22:00,6050,70
22:30,5350,110
23:00,3750,195
23:30,6250,60
24:00,4650,135
